register,words,format1,format2,access,unit,name,id
30051,2,U32,TAGLIST,RO,-,Geräteklasse,Nameplate.MainModel,,,,,
30053,2,U32,TAGLIST,RO,-,Gerätetyp,Nameplate.Model,,,,,
30055,2,U32,TAGLIST,RO,-,Hersteller,Nameplate.Vendor,,,,,
30057,2,U32,RAW,RO,-,Seriennummer,Nameplate.SerNum,,,,,
30059,2,U32,FW,RO,-,Softwarepaket,Nameplate.PkgRev,,,,,
30199,2,U32,Dauer,RO,s,Wartezeit bis Einspeisung,Operation.RmgTms,,,,,
30201,2,U32,TAGLIST,RO,-,Zustand,Operation.Health,,,,,
30203,2,U32,FIX0,RO,W,Nennleistung im Zustand Ok,Operation.HealthStt.Ok,,,,,
30205,2,U32,FIX0,RO,W,Nennleistung im Zustand Warnung,Operation.HealthStt.Wrn,,,,,
30207,2,U32,FIX0,RO,W,Nennleistung im Zustand Fehler,Operation.HealthStt.Alm,,,,,
30211,2,U32,TAGLIST,RO,-,Empfohlene Aktion,Operation.Evt.Prio,,,,,
30213,2,U32,TAGLIST,RO,-,Meldung,Operation.Evt.Msg,,,,,
30215,2,U32,TAGLIST,RO,-,Fehlerbehebungsmaßnahme,Operation.Evt.Dsc,,,,,
30231,2,U32,FIX0,RO,W,Bemessungswirkleistung WMaxOutRtg,Inverter.WLim,,,,,
30233,2,U32,FIX0,RO,W,Nennwirkleistung WMaxOut,Inverter.WMax,,,,,
30247,2,U32,FIX0,RO,-,Aktuelle Ereignisnummer für Hersteller,Operation.Evt.EvtNo,,,,,
30251,2,U32,TAGLIST,RO,-,Verriegelungsstatus,Operation.RstrLokStt,,,,,
30513,4,U64,FIX0,RO,Wh,Gesamtertrag,Metering.TotWhOut,,,,,
30529,2,U32,FIX0,RO,Wh,Gesamtertrag,Metering.TotWhOut,,,,,
30531,2,U32,FIX0,RO,kWh,Gesamtertrag,Metering.TotWhOut,,,,,
30533,2,U32,FIX0,RO,MWh,Gesamtertrag,Metering.TotWhOut,,,,,
30559,2,U32,FIX0,RO,-,Anzahl Ereignisse für Benutzer,Operation.EvtCntUsr,,,,,
30561,2,U32,FIX0,RO,-,Anzahl Ereignisse für Installateur,Operation.EvtCntIstl,,,,,
30563,2,U32,FIX0,RO,-,Anzahl Ereignisse für Service,Operation.EvtCntSvc,,,,,
30565,2,U32,FIX0,RO,-,Anzahl Generatorstarts,Gn.Diag.StrCnt,,,,,
30567,2,U32,FIX0,RO,Ah,Zähler für Amperestunden Batterieladung,Bat.Diag.TotAhIn,,,,,
30569,2,U32,FIX0,RO,Ah,Zähler für Amperestunden Batterieentladung,Bat.Diag.TotAhOut,,,,,
30571,2,U32,FIX0,RO,Wh,Zählerstand Verbrauchszähler,Metering.Csmp.TotWhIn,,,,,
30577,2,U32,FIX0,RO,Wh,Netzbezug heute,Metering.GridMs.DyWhIn,,,,,
30579,2,U32,FIX0,RO,Wh,Ins Netz eingespeiste Energie (heute),Metering.GridMs.DyWhOut,,,,,
30581,2,U32,FIX0,RO,Wh,Zählerstand Bezugszähler,Metering.GridMs.TotWhIn,,,,,
